,pick,mp,oreb,dreb,treb,ast,stl,blk,pts
34596,,31.9355,0.4194,2.7097,3.129,5.0645,1.0645,0.0,12.0645
34598,,35.129,0.3548,2.0323,2.3871,1.7419,0.4516,0.0323,11.5161
34612,,35.4242,0.4848,2.6364,3.1212,2.8788,1.3333,0.0,16.0303
34623,,31.4286,0.4286,2.1429,2.5714,1.7143,1.8571,0.1429,10.2857
34626,,31.303,1.7273,4.6667,6.3939,2.303,1.5758,0.7576,12.2727
34638,,32.3529,2.6471,5.6471,8.2941,1.5588,1.2059,0.5294,11.2647
34654,,33.0345,0.4828,2.2759,2.7586,3.7931,0.8621,0.069,16.4483
34657,,30.0345,0.5862,2.6207,3.2069,4.5862,0.7241,0.1034,10.0
34665,,30.0625,1.0625,4.25,5.3125,2.375,1.0625,0.1562,11.0312
34687,,33.75,0.25,1.8214,2.0714,2.0714,0.7143,0.0357,15.7143
34690,,31.0,0.4286,2.5,2.9286,3.5714,1.0714,0.0,7.7857
34695,,30.2121,0.697,2.7273,3.4242,1.697,0.7879,0.0303,11.303
34707,,35.4,0.3333,2.7,3.0333,1.5667,0.4333,0.1,14.6333
34727,,35.2812,0.9688,3.25,4.2188,3.3125,1.0312,0.0625,16.8125
34737,,30.4688,1.0625,2.9062,3.9688,2.6875,0.7812,0.0938,13.1875
34764,,30.7,0.625,2.7,3.325,3.75,1.45,0.225,12.775
34769,,30.2059,3.0294,6.2941,9.3235,0.9706,0.5588,0.8235,9.9412
34770,,32.1724,0.4138,1.8621,2.2759,4.0345,1.3793,0.3103,7.4138
34771,,32.5862,0.5862,2.5862,3.1724,1.4828,1.2414,0.1724,12.3793
34782,,36.8966,1.5517,5.4138,6.9655,1.7931,0.7241,1.5517,18.069
34805,,30.2941,0.6765,1.4118,2.0882,2.3824,0.9706,0.0294,6.7647
34821,,32.8889,0.2963,2.5556,2.8519,4.4815,0.8889,0.037,13.8148
34825,,31.1379,0.9655,3.0345,4.0,1.2414,2.0,0.1034,14.5862
34852,17.0,30.3636,0.3939,3.6061,4.0,5.2121,1.2121,0.3333,14.1212
34863,,30.0294,2.6176,5.4118,8.0294,0.7941,0.2647,1.8235,16.5882
34874,,34.9655,0.4138,3.3793,3.7931,4.4138,1.5172,0.0345,12.3103
34880,,30.5152,4.1818,8.7273,12.9091,0.9091,0.9697,1.1818,13.5455
34887,,32.45,0.45,3.1,3.55,2.8,1.35,0.0,12.8
34906,,33.4688,0.7812,3.625,4.4062,2.5625,0.9688,0.1562,14.5625
34910,27.0,35.3438,4.0,7.8438,11.8438,1.5938,1.0,2.2188,20.375
34911,,30.9091,0.8182,3.8182,4.6364,3.1364,0.7273,0.0455,14.3636
34922,,30.0625,1.125,4.5938,5.7188,1.75,0.7188,0.3125,10.9062
34926,,31.0938,0.5938,3.2188,3.8125,2.2812,0.875,0.2812,16.1562
34936,,33.0,0.5455,2.1364,2.6818,3.3182,1.0,0.6364,14.1818
34938,38.0,34.1613,1.0968,4.0968,5.1935,3.871,2.4194,0.4194,14.5161
34946,,31.8276,1.1034,3.0,4.1034,2.5862,1.9655,0.7586,9.0
34955,,33.2286,0.3143,3.2857,3.6,4.9143,1.2571,0.1429,15.1143
34961,,31.5,2.2,4.4667,6.6667,1.3,1.0667,0.3,15.0667
34966,,34.3871,2.3871,5.5161,7.9032,5.0,2.4839,0.4516,15.9677
34976,,30.9643,0.8571,3.7857,4.6429,1.6071,2.1786,0.3571,15.3214
34984,,34.8438,0.6875,3.5,4.1875,2.5938,1.25,0.125,11.75
34986,45.0,33.027,2.027,3.3514,5.3784,3.1622,1.0811,0.3784,16.8108
34988,,37.4118,0.5882,3.1176,3.7059,6.4118,1.2647,0.1471,13.6765
34989,,30.1935,1.0968,4.2903,5.3871,2.4194,1.2903,0.4194,12.6452
35000,,31.88,0.56,1.72,2.28,4.76,0.96,0.08,9.24
35002,,35.9677,1.1935,2.4839,3.6774,4.129,1.5484,0.0968,17.6774
35013,,34.9655,0.3103,2.2414,2.5517,4.8621,0.931,0.0,20.2759
35018,,33.1071,2.3929,4.6071,7.0,1.4643,0.3929,0.1786,15.5714
35021,,33.3,0.7667,2.8,3.5667,2.2333,1.1333,0.4667,12.3333
35028,,30.9688,0.5625,2.5,3.0625,5.25,1.3438,0.0625,9.9688
35032,,32.8788,0.3333,1.9091,2.2424,6.3333,1.5758,0.0606,9.1818
35038,,36.9667,1.4333,2.1667,3.6,1.2333,1.9,0.3333,13.1
35040,,38.0333,0.7333,4.8,5.5333,2.9,1.0667,0.4,19.2333
35043,,30.4483,0.3793,2.1034,2.4828,2.2414,0.7586,0.1724,13.2069
35046,,30.8387,1.3548,2.9355,4.2903,2.5484,1.0323,0.5484,12.9677
35054,,31.5217,0.4783,3.5652,4.0435,4.3478,1.4783,0.1304,16.2609
35057,,32.0303,1.4242,4.0,5.4242,2.0,0.7576,0.6061,11.0606
35063,,36.2581,0.8065,3.5161,4.3226,4.7097,1.7742,0.2581,16.1613
35067,,30.4375,1.4688,3.3438,4.8125,1.2188,0.3438,0.375,9.4375
35070,21.0,36.5833,0.6667,3.9167,4.5833,3.5278,1.3056,0.1389,21.6389
35073,,32.2759,1.5517,5.2414,6.7931,0.8966,0.6897,0.7931,15.7241
35074,,33.6562,0.6875,4.8125,5.5,3.1562,1.0938,0.0625,21.6875
35081,,36.125,2.7812,6.75,9.5312,2.6875,2.0625,0.2812,13.125
35083,,30.3714,0.5429,3.4857,4.0286,0.8286,0.4,0.2571,10.8857
35092,,31.2759,2.2069,6.7586,8.9655,1.069,1.3793,0.6552,16.1034
35109,,35.6875,0.375,3.25,3.625,6.6562,0.9688,0.1562,13.7812
35114,,33.25,0.7812,2.875,3.6562,3.6875,1.7188,0.25,15.2812
35116,,32.75,3.25,3.875,7.125,0.75,0.75,0.625,12.75
35125,,32.2857,1.1786,4.8571,6.0357,2.2143,0.6429,0.1429,6.8929
35129,,35.5312,0.4375,2.9688,3.4062,2.5625,1.1875,0.25,13.625
35133,,35.9,0.6333,3.1,3.7333,3.0333,1.3,0.0,9.5667
35134,,36.7931,0.5172,2.3793,2.8966,4.5172,0.5862,0.069,18.6897
35143,,32.6562,1.7812,5.5312,7.3125,1.75,0.875,1.4688,10.0312
35156,,31.1,0.3667,1.8333,2.2,3.3,1.2333,0.1,5.6667
35157,,31.7812,0.6875,2.8125,3.5,3.6562,1.0312,0.0625,14.1875
35167,,33.5625,0.4688,3.1875,3.6562,2.9062,1.1562,0.2188,12.9688
35174,,33.2812,1.4688,5.125,6.5938,3.0938,1.125,0.6875,12.1875
35182,,34.3929,0.2857,2.4286,2.7143,3.1071,1.3929,0.0714,20.7857
35187,,33.1,0.6667,3.7667,4.4333,4.1333,1.1667,0.1333,13.9333
35189,,33.2143,1.4286,2.2857,3.7143,1.5714,0.9286,0.25,10.5
35202,,34.6176,0.3824,2.7059,3.0882,2.5294,0.9118,0.0,17.0294
35203,,34.5625,1.0625,3.2812,4.3438,5.5,2.0625,0.1875,13.5
35210,,34.6071,2.0,4.8929,6.8929,0.7143,1.3929,0.2857,18.8571
35222,,32.4333,0.5667,2.8333,3.4,3.9,1.5,0.2,14.1
35228,,30.5185,2.5926,4.5185,7.1111,1.3333,1.1852,0.963,8.4815
35231,,36.2143,0.6786,4.1071,4.7857,3.8571,0.9286,0.1786,18.6071
35247,,32.4857,0.3714,2.9714,3.3429,1.0286,0.3714,0.0,11.7429
35271,,32.8857,0.5429,2.6571,3.2,1.6,1.0286,0.2571,16.2857
35276,,34.8571,0.6429,2.7143,3.3571,2.7857,0.6429,0.0714,20.1786
35279,,30.5,3.25,5.5625,8.8125,0.875,0.5,1.6875,11.0938
35286,,35.2188,0.2812,2.9375,3.2188,3.4062,1.3125,0.2188,14.8125
35290,,32.3529,0.5,3.2647,3.7647,4.6765,1.6176,0.1471,13.4118
35303,,30.5833,2.5,3.6944,6.1944,2.0,0.8611,0.6389,12.9167
35314,51.0,38.0286,0.7429,3.2,3.9429,6.8857,1.7714,0.2571,13.8286
35319,,30.6552,1.7241,3.3793,5.1034,1.0345,0.7931,0.2414,10.1034
35321,,34.2812,0.6875,3.1562,3.8438,1.7812,1.125,0.0,19.2812
35322,,30.2667,1.1,3.2667,4.3667,1.1667,0.9333,0.0667,8.6
