pick,player_name,oreb,dreb,treb,ast,stl,blk,pts
,Will Brown,1.3143,2.3143,3.6286,0.2,0.4571,0.9143,4.2
,Noah Hartsock,1.4857,3.5429,5.0286,1.0286,0.5143,1.2857,6.3143
,Anthony Booker,1.2143,3.0,4.2143,0.5357,0.6429,1.0357,6.2857
,Daniel Richard,1.0,1.5769,2.5769,0.4231,0.1154,0.4615,2.2308
,Jamarcus Little,0.3,0.4,0.7,0.0,0.0,0.1,0.3
,Darnell Gant,0.9429,1.4286,2.3714,0.4,0.1714,0.2571,2.5429
,Henry Sims,0.3571,1.0,1.3571,0.25,0.1071,0.4286,1.3929
,Oliver Jefferson,0.2917,0.8333,1.125,0.2083,0.0417,0.2917,1.5
,Delvon Roe,1.8378,3.1622,5.0,1.1622,0.8378,0.9459,6.4324
,Terrence Jennings,1.625,1.75,3.375,0.375,0.5625,1.25,5.125
,Samardo Samuels,3.2121,3.7879,7.0,1.1818,0.6061,1.1212,15.3333
,Brant Leitnaker,0.8333,0.9,1.7333,0.4667,0.4,0.4667,2.8333
,Richie Frohlich,0.7143,0.8571,1.5714,0.0714,0.2143,0.0714,1.9286
,Assane Sene,1.08,2.52,3.6,0.16,0.16,0.76,1.56
,Garrett Stutz,1.7353,2.5882,4.3235,0.5588,0.2059,0.5294,7.8529
,Andrew Brommer,0.5,0.7727,1.2727,0.4091,0.3182,0.3182,1.7273
,Bassey Inameti,0.7931,1.931,2.7241,0.6897,0.0,0.6552,3.8276
,Oliver Lewinson,0.4615,1.0769,1.5385,0.0769,0.1538,0.0,0.9231
,Kevin Ford,2.9062,4.375,7.2812,1.1562,0.8438,1.4062,11.875
,Dario Hunt,3.0,3.9697,6.9697,0.8788,0.6667,1.9091,6.4848
,Matei Daian,0.5385,0.4231,0.9615,0.0769,0.0385,0.0769,1.2692
,Brice Massamba,1.1515,1.3333,2.4848,0.4545,0.2727,0.3333,4.4545
,Alex Rivas,0.4118,0.9412,1.3529,0.0588,0.1176,0.2353,0.5882
,Frank Ben-Eze,0.8846,1.4615,2.3462,0.2308,0.1154,0.6923,1.5769
,Dallas Blocker,1.4348,1.6087,3.0435,1.3043,0.9565,0.6087,3.7391
,Jawaan Wright,1.4333,1.9,3.3333,0.5667,0.4333,0.9,4.8333
,Papa Guisse,0.4545,0.6364,1.0909,0.0909,0.1818,0.1818,0.7273
,Eugene Blue,0.9375,1.2812,2.2188,0.2188,0.1562,0.2188,3.375
,Charlie Enquist,0.5625,1.4375,2.0,0.25,0.3125,0.1875,1.5
,Daniel Watts,0.3684,0.8947,1.2632,0.1053,0.2105,0.2105,0.8421
,Marvin Jefferson,2.2069,3.7931,6.0,0.7586,0.6207,2.1724,9.1034
,Tijan Jobe,0.1364,0.5,0.6364,0.0,0.0,0.1818,0.3636
